Date,Open Price,High Price,Low Price,Close Price,Adj Close,Average Price,Volume
17-02-22,3825,3835,3779,3783.85,3784.2,3796.61,3134372
18-02-22,3769,3815.95,3757.6,3800,3793.9,3788.53,3688883
21-02-22,3810,3827.8,3705.55,3719.35,3719.4,3746.53,7465922
22-02-22,3650,3667.9,3570,3590,3586.4,3596.79,5408531
23-02-22,3611,3622.9,3555.65,4000,3563.8,3581.54,2426203
24-02-22,3474,3483.85,3391.1,3400.45,3401.65,3440.54,5039136
25-02-22,3468,3530,3462,4500,3520.75,3508.31,2549723
28-02-22,3490,3563.75,3455.9,3550.15,3554.2,3529.86,3288942
02-03-22,3552.5,3571.95,3506,3549,3546.15,3537.16,2761341
03-03-22,3562.85,3578.6,3530.1,3544,3544.4,3553.27,1928039
04-03-22,3501.5,3561.2,3487.05,3519.8,3524.35,3525.56,2370257
